Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.405435,372.09,0,0,0,0,0
0.405435,372.09,1.52672e-007,0.188372,0.00143795,0.188372,0
0.405435,372.09,3.05344e-007,0.376,0.0042972,0.374562,0.000439069
0.405435,372.09,4.58015e-007,0.562144,0.00855222,0.557408,0.00175119
0.405435,372.09,6.10687e-007,0.74607,0.0141688,0.735766,0.00436256
0.405435,372.09,7.63359e-007,0.927051,0.021104,0.90852,0.00868889
0.405435,372.09,9.16031e-007,1.10437,0.0293069,1.07458,0.0151329
0.405435,372.09,1.0687e-006,1.27734,0.0387184,1.2329,0.0240816
0.405435,372.09,1.22137e-006,1.44526,0.0492715,1.38246,0.035904
0.405435,372.09,1.37405e-006,1.60748,0.0608922,1.5223,0.0509487
0.405435,372.09,1.52672e-006,1.76336,0.0734991,1.65151,0.0695417
0.405435,372.09,1.67939e-006,1.91227,0.0870047,1.76923,0.0919842
0.405435,372.09,1.83206e-006,2.05364,0.101315,1.87465,0.118551
0.405435,372.09,1.98473e-006,2.18691,0.116331,1.96704,0.149486
0.405435,372.09,2.1374e-006,2.31154,0.131947,2.04572,0.185007
0.405435,372.09,2.29008e-006,2.42705,0.148054,2.1101,0.225296
0.405435,372.09,2.44275e-006,2.53298,0.16454,2.15963,0.270504
0.405435,372.09,2.59542e-006,2.62892,0.181287,2.19388,0.320745
0.405435,372.09,2.74809e-006,2.71448,0.198176,2.21245,0.3761
0.405435,372.09,2.90076e-006,2.78933,0.215085,2.21505,0.436612
0.405435,372.09,3.05344e-006,2.85317,0.23189,2.20147,0.502287
0.405435,372.09,3.20611e-006,2.90575,0.248467,2.17157,0.573093
0.405435,372.09,3.35878e-006,2.94686,0.264691,2.1253,0.648961
0.405435,372.09,3.51145e-006,2.97634,0.280436,2.06269,0.729782
0.405435,372.09,3.66412e-006,2.99408,0.29558,1.98386,0.815412
0.405435,372.09,3.81679e-006,3,0.31,1.88901,0.905665
0.405435,372.09,3.96947e-006,2.99408,0.323576,1.77841,1.00032
0.405435,372.09,4.12214e-006,2.97634,0.33619,1.65245,1.09912
0.405435,372.09,4.27481e-006,2.94686,0.347729,1.51155,1.20178
0.405435,372.09,4.42748e-006,2.90575,0.358082,1.35624,1.30795
0.405435,372.09,4.58015e-006,2.85317,0.367144,1.18713,1.41729
0.405435,372.09,4.73282e-006,2.78933,0.374815,1.00489,1.5294
0.405435,372.09,4.8855e-006,2.71448,0.381,0.81027,1.64384
0.405435,372.09,5.03817e-006,2.62892,0.385611,0.604076,1.76018
0.405435,372.09,5.19084e-006,2.53298,0.388567,0.387193,1.87792
0.405435,372.09,5.34351e-006,2.42705,0.389793,0.16056,1.99657
0.405435,372.09,5.49618e-006,2.31154,0.389221,-0.0748231,2.11559
0.405435,372.09,5.64885e-006,2.18691,0.386795,-0.317906,2.23444
0.405435,372.09,5.80153e-006,2.05364,0.382462,-0.56759,2.35254
0.405435,372.09,5.9542e-006,1.91227,0.376182,-0.822732,2.46932
0.405435,372.09,6.10687e-006,1.76336,0.367921,-1.08215,2.58419
0.405435,372.09,6.25954e-006,1.60748,0.357656,-1.34463,2.69653
0.405435,372.09,6.41221e-006,1.44526,0.345375,-1.60893,2.80574
0.405435,372.09,6.56489e-006,1.27734,0.331071,-1.87378,2.9112
0.405435,372.09,6.71756e-006,1.10437,0.314751,-2.13789,3.01229
0.405435,372.09,6.87023e-006,0.927051,0.296431,-2.39999,3.10839
0.405435,372.09,7.0229e-006,0.74607,0.276135,-2.65876,3.19891
0.405435,372.09,7.17557e-006,0.562144,0.253899,-2.9129,3.28322
0.405435,372.09,7.32824e-006,0.376,0.229768,-3.16112,3.36075
0.405435,372.09,7.48092e-006,0.188372,0.203798,-3.40215,3.43091
0.405435,372.09,7.63359e-006,3.67382e-016,0.176052,-3.63471,3.49314
