x = 0	y = 0
x = 0.0622098	y = 0.00387005
x = 0.12442	y = 0.0154802
x = 0.186629	y = 0.0348305
x = 0.248839	y = 0.0619209
x = 0.311049	y = 0.0967513
x = 0.373259	y = 0.139322
x = 0.435468	y = 0.189633
x = 0.497678	y = 0.247683
x = 0.559888	y = 0.313474
x = 0.622098	y = 0.387005
x = 0.684307	y = 0.468276
x = 0.746517	y = 0.557288
x = 0.808727	y = 0.654039
x = 0.870937	y = 0.758531
x = 0.933146	y = 0.870762
x = 0.995356	y = 0.990734
x = 1.05757	y = 1.11845
x = 1.11978	y = 1.2539
x = 1.18199	y = 1.39709
x = 1.2442	y = 1.54802
x = 1.3064	y = 1.70669
x = 1.36861	y = 1.87311
x = 1.43082	y = 2.04726
x = 1.49303	y = 2.22915
x = 1.55524	y = 2.41878
x = 1.61745	y = 2.61616
x = 1.67966	y = 2.82127
x = 1.74187	y = 3.03412
x = 1.80408	y = 3.25472
x = 1.86629	y = 3.48305
x = 1.9285	y = 3.71912
x = 1.99071	y = 3.96293
x = 2.05292	y = 4.21449
x = 2.11513	y = 4.47378
x = 2.17734	y = 4.74082
x = 2.23955	y = 5.01559
x = 2.30176	y = 5.2981
x = 2.36397	y = 5.58836
x = 2.42618	y = 5.88635
x = 2.48839	y = 6.19209
x = 2.5506	y = 6.50556
x = 2.61281	y = 6.82677
x = 2.67502	y = 7.15573
x = 2.73723	y = 7.49242
x = 2.79944	y = 7.83686
x = 2.86165	y = 8.18903
x = 2.92386	y = 8.54895
x = 2.98607	y = 8.9166
x = 3.04828	y = 9.292
x = 3.11049	y = 9.67513
x = 3.1727	y = 10.066
x = 3.23491	y = 10.4646
x = 3.29712	y = 10.871
x = 3.35933	y = 11.2851
x = 3.42154	y = 11.7069
x = 3.48375	y = 12.1365
x = 3.54596	y = 12.5738
x = 3.60817	y = 13.0189
x = 3.67038	y = 13.4717
x = 3.73259	y = 13.9322
x = 3.7948	y = 14.4005
x = 3.857	y = 14.8765
x = 3.91921	y = 15.3602
x = 3.98142	y = 15.8517
x = 4.04363	y = 16.351
x = 4.10584	y = 16.858
x = 4.16805	y = 17.3727
x = 4.23026	y = 17.8951
x = 4.29247	y = 18.4253
x = 4.35468	y = 18.9633
x = 4.41689	y = 19.5089
x = 4.4791	y = 20.0624
x = 4.54131	y = 20.6235
x = 4.60352	y = 21.1924
x = 4.66573	y = 21.7691
x = 4.72794	y = 22.3534
x = 4.79015	y = 22.9455
x = 4.85236	y = 23.5454
x = 4.91457	y = 24.153
x = 4.97678	y = 24.7683
x = 5.03899	y = 25.3914
x = 5.1012	y = 26.0222
x = 5.16341	y = 26.6608
x = 5.22562	y = 27.3071
x = 5.28783	y = 27.9611
x = 5.35004	y = 28.6229
x = 5.41225	y = 29.2924
x = 5.47446	y = 29.9697
x = 5.53667	y = 30.6547
x = 5.59888	y = 31.3474
x = 5.66109	y = 32.0479
x = 5.7233	y = 32.7561
x = 5.78551	y = 33.4721
x = 5.84772	y = 34.1958
x = 5.90993	y = 34.9272
x = 5.97214	y = 35.6664
x = 6.03435	y = 36.4133
x = 6.09656	y = 37.168
x = 6.15877	y = 37.9304
x = 6.22098	y = 38.7005
